harness,task,model,run,capability_mode,telemetry_trust,tool_set,build_ok,test_ok,in_tok,out_tok,cost_usd,model_calls,telemetry_note,latency_s,workdir,transcript_path,error
raw_api,ng-feat1-reading-time,google/gemini-3.1-flash-lite,3,single_shot,exact,,True,True,580,538,0.001,1,legacy raw_api row; one OpenRouter request,2.5,results\ng-feat1-reading-time__google_gemini-3.1-flash-lite__r3,results\ng-feat1-reading-time__google_gemini-3.1-flash-lite__r3/_raw_response.txt,
raw_api,ng-feat1-reading-time,qwen/qwen3-coder-next,1,single_shot,exact,,True,True,517,447,0.0004,1,legacy raw_api row; one OpenRouter request,9.3,results\ng-feat1-reading-time__qwen_qwen3-coder-next__r1,results\ng-feat1-reading-time__qwen_qwen3-coder-next__r1/_raw_response.txt,
raw_api,ng-feat1-reading-time,qwen/qwen3-coder-next,2,single_shot,exact,,True,True,517,446,0.0004,1,legacy raw_api row; one OpenRouter request,3.9,results\ng-feat1-reading-time__qwen_qwen3-coder-next__r2,results\ng-feat1-reading-time__qwen_qwen3-coder-next__r2/_raw_response.txt,
raw_api,ng-feat1-reading-time,qwen/qwen3-coder-next,3,single_shot,exact,,True,True,517,453,0.0004,1,legacy raw_api row; one OpenRouter request,3.2,results\ng-feat1-reading-time__qwen_qwen3-coder-next__r3,results\ng-feat1-reading-time__qwen_qwen3-coder-next__r3/_raw_response.txt,
raw_api,ng-feat1-reading-time,tencent/hy3-preview,1,single_shot,exact,,True,True,545,2218,0.0006,1,legacy raw_api row; one OpenRouter request,23.7,results\ng-feat1-reading-time__tencent_hy3-preview__r1,results\ng-feat1-reading-time__tencent_hy3-preview__r1/_raw_response.txt,
raw_api,ng-feat1-reading-time,tencent/hy3-preview,2,single_shot,exact,,True,True,545,4987,0.0013,1,legacy raw_api row; one OpenRouter request,57.7,results\ng-feat1-reading-time__tencent_hy3-preview__r2,results\ng-feat1-reading-time__tencent_hy3-preview__r2/_raw_response.txt,
raw_api,ng-feat1-reading-time,tencent/hy3-preview,3,single_shot,exact,,True,True,545,3728,0.001,1,legacy raw_api row; one OpenRouter request,41.9,results\ng-feat1-reading-time__tencent_hy3-preview__r3,results\ng-feat1-reading-time__tencent_hy3-preview__r3/_raw_response.txt,
raw_api,ng-feat1-reading-time,qwen/qwen3-coder,1,single_shot,exact,,True,True,517,452,0.0009,1,legacy raw_api row; one OpenRouter request,7.2,results\ng-feat1-reading-time__qwen_qwen3-coder__r1,results\ng-feat1-reading-time__qwen_qwen3-coder__r1/_raw_response.txt,
raw_api,ng-feat1-reading-time,qwen/qwen3-coder,2,single_shot,exact,,True,True,517,450,0.0009,1,legacy raw_api row; one OpenRouter request,11.3,results\ng-feat1-reading-time__qwen_qwen3-coder__r2,results\ng-feat1-reading-time__qwen_qwen3-coder__r2/_raw_response.txt,
raw_api,ng-feat1-reading-time,qwen/qwen3-coder,3,single_shot,exact,,True,True,517,460,0.0009,1,legacy raw_api row; one OpenRouter request,3.9,results\ng-feat1-reading-time__qwen_qwen3-coder__r3,results\ng-feat1-reading-time__qwen_qwen3-coder__r3/_raw_response.txt,
raw_api,ng-feat1-reading-time,deepseek/deepseek-v4-pro,1,single_shot,exact,,True,True,539,939,0.0011,1,legacy raw_api row; one OpenRouter request,11.9,results\ng-feat1-reading-time__deepseek_deepseek-v4-pro__r1,results\ng-feat1-reading-time__deepseek_deepseek-v4-pro__r1/_raw_response.txt,
raw_api,ng-feat1-reading-time,deepseek/deepseek-v4-pro,2,single_shot,exact,,True,True,539,929,0.001,1,legacy raw_api row; one OpenRouter request,26.7,results\ng-feat1-reading-time__deepseek_deepseek-v4-pro__r2,results\ng-feat1-reading-time__deepseek_deepseek-v4-pro__r2/_raw_response.txt,
raw_api,ng-feat1-reading-time,deepseek/deepseek-v4-pro,3,single_shot,exact,,True,True,539,861,0.001,1,legacy raw_api row; one OpenRouter request,15.5,results\ng-feat1-reading-time__deepseek_deepseek-v4-pro__r3,results\ng-feat1-reading-time__deepseek_deepseek-v4-pro__r3/_raw_response.txt,
raw_api,ng-feat1-reading-time,z-ai/glm-5.2,1,single_shot,exact,,True,True,518,1807,0.0077,1,legacy raw_api row; one OpenRouter request,48.9,results\ng-feat1-reading-time__z-ai_glm-5.2__r1,results\ng-feat1-reading-time__z-ai_glm-5.2__r1/_raw_response.txt,
raw_api,ng-feat1-reading-time,z-ai/glm-5.2,2,single_shot,exact,,True,True,518,1266,0.0056,1,legacy raw_api row; one OpenRouter request,24.3,results\ng-feat1-reading-time__z-ai_glm-5.2__r2,results\ng-feat1-reading-time__z-ai_glm-5.2__r2/_raw_response.txt,
raw_api,ng-feat1-reading-time,z-ai/glm-5.2,3,single_shot,exact,,True,True,518,1763,0.0076,1,legacy raw_api row; one OpenRouter request,27.6,results\ng-feat1-reading-time__z-ai_glm-5.2__r3,results\ng-feat1-reading-time__z-ai_glm-5.2__r3/_raw_response.txt,
raw_api,ng-feat1-reading-time,minimax/minimax-m2.7,1,single_shot,exact,,True,True,561,933,0.0011,1,legacy raw_api row; one OpenRouter request,16.4,results\ng-feat1-reading-time__minimax_minimax-m2.7__r1,results\ng-feat1-reading-time__minimax_minimax-m2.7__r1/_raw_response.txt,
raw_api,ng-feat1-reading-time,minimax/minimax-m2.7,2,single_shot,exact,,True,True,558,863,0.001,1,legacy raw_api row; one OpenRouter request,8.3,results\ng-feat1-reading-time__minimax_minimax-m2.7__r2,results\ng-feat1-reading-time__minimax_minimax-m2.7__r2/_raw_response.txt,
raw_api,ng-feat1-reading-time,minimax/minimax-m2.7,3,single_shot,exact,,True,True,561,1383,0.0015,1,legacy raw_api row; one OpenRouter request,26.7,results\ng-feat1-reading-time__minimax_minimax-m2.7__r3,results\ng-feat1-reading-time__minimax_minimax-m2.7__r3/_raw_response.txt,
raw_api,ng-feat2-service-search,qwen/qwen3.7-plus,1,single_shot,exact,,True,True,694,2661,0.0036,1,legacy raw_api row; one OpenRouter request,50.4,results\ng-feat2-service-search__qwen_qwen3.7-plus__r1,results\ng-feat2-service-search__qwen_qwen3.7-plus__r1/_raw_response.txt,
